ticker,sector,industry
DVA,Healthcare,Medical Care Facilities
FITB,Financial Services,Banks—Regional
SWKS,Technology,Semiconductors
ARGO,Financial Services,Insurance—Property & Casualty
DVN,Energy,Oil & Gas E&P
EMR,Industrials,Specialty Industrial Machinery
PXD,Energy,Oil & Gas E&P
ROK,Industrials,Specialty Industrial Machinery
WMB,Energy,Oil & Gas Midstream
BROS,Consumer Cyclical,Restaurants
AE,Energy,Oil & Gas Refining & Marketing
MPWR,Technology,Semiconductors
CM,Financial Services,Banks—Diversified
RY,Financial Services,Banks—Diversified
ENB,Energy,Oil & Gas Midstream
VOYA,Financial Services,Financial Conglomerates
PRU,Financial Services,Insurance—Life
CNP,Utilities,Utilities—Regulated Electric
MET,Financial Services,Insurance—Life
EMRAF,Utilities,Utilities—Regulated Electric
MKL,Financial Services,Insurance—Property & Casualty
HBAN,Financial Services,Banks—Regional
CMS,Utilities,Utilities—Regulated Electric
RF,Financial Services,Banks—Regional
HIG,Financial Services,Insurance—Diversified
CSCO,Technology,Communication Equipment
SO,Utilities,Utilities—Regulated Electric
ALLY,Financial Services,Credit Services
LH,Healthcare,Diagnostics & Research
LLY,Healthcare,Drug Manufacturers—General
CVS,Healthcare,Healthcare Plans
MDLZ,Consumer Defensive,Confectioners
HUM,Healthcare,Healthcare Plans
GIS,Consumer Defensive,Packaged Foods
CL,Consumer Defensive,Household & Personal Products
MMC,Financial Services,Insurance Brokers
A,Healthcare,Diagnostics & Research
CDNS,Technology,Software—Application
RSG,Industrials,Waste Management
RMD,Healthcare,Medical Instruments & Supplies
ATVI,Communication Services,Electronic Gaming & Multimedia
CME,Financial Services,Financial Data & Stock Exchanges
ABT,Healthcare,Medical Devices
NOW,Technology,Software—Application
INCY,Healthcare,Biotechnology
TTWO,Communication Services,Electronic Gaming & Multimedia
IBM,Technology,Information Technology Services
ANSS,Technology,Software—Application
SNPS,Technology,Software—Infrastructure
ETSY,Consumer Cyclical,Internet Retail
NWSA,Communication Services,Entertainment
MU,Technology,Semiconductors
MTD,Healthcare,Diagnostics & Research
RVTY,Healthcare,Diagnostics & Research
K,Consumer Defensive,Packaged Foods
TROW,Financial Services,Asset Management
BKNG,Consumer Cyclical,Travel Services
WAT,Healthcare,Diagnostics & Research
HAS,Consumer Cyclical,Leisure
WRK,Consumer Cyclical,Packaging & Containers
TECH,Healthcare,Biotechnology
TDOC,Healthcare,Health Information Services
YNDX,Communication Services,Internet Content & Information
UNP,Industrials,Railroads
BDX,Healthcare,Medical Instruments & Supplies
ROP,Technology,Software—Application
TRV,Financial Services,Insurance—Property & Casualty
APD,Basic Materials,Specialty Chemicals
PM,Consumer Defensive,Tobacco
HRL,Consumer Defensive,Packaged Foods
DGX,Healthcare,Diagnostics & Research
KEYS,Technology,Scientific & Technical Instruments
HSIC,Healthcare,Medical Distribution
CINF,Financial Services,Insurance—Property & Casualty
CPB,Consumer Defensive,Packaged Foods
GLW,Technology,Electronic Components
L,Financial Services,Insurance—Property & Casualty
ROL,Consumer Cyclical,Personal Services
DXC,Technology,Information Technology Services
ABC,Healthcare,Medical Distribution
GEN,Technology,Software—Infrastructure
CAH,Healthcare,Medical Distribution
VRTX,Healthcare,Biotechnology
AJG,Financial Services,Insurance Brokers
BWA,Consumer Cyclical,Auto Parts
HLT,Consumer Cyclical,Lodging
IT,Technology,Information Technology Services
MCO,Financial Services,Financial Data & Stock Exchanges
TDY,Technology,Scientific & Technical Instruments
ARES,Financial Services,Asset Management
XYL,Industrials,Specialty Industrial Machinery
DEI,Real Estate,REIT—Office
COTY,Consumer Defensive,Household & Personal Products
GPK,Consumer Cyclical,Packaging & Containers
DKS,Consumer Cyclical,Specialty Retail
TPX,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WCN,Industrials,Waste Management
AL,Industrials,Rental & Leasing Services
XEL,Utilities,Utilities—Regulated Electric
NTR,Basic Materials,Agricultural Inputs
GPN,Industrials,Specialty Business Services
AVGO,Technology,Semiconductors
HPQ,Technology,Computer Hardware
MPLX,Energy,Oil & Gas Midstream
AN,Consumer Cyclical,Auto & Truck Dealerships
BMO,Financial Services,Banks—Diversified
INTC,Technology,Semiconductors
NTRS,Financial Services,Asset Management
EVRG,Utilities,Utilities—Regulated Electric
BCE,Communication Services,Telecom Services
MPC,Energy,Oil & Gas Refining & Marketing
AIG,Financial Services,Insurance—Diversified
BAP,Financial Services,Banks—Regional
HUBS,Technology,Software—Application
IART,Healthcare,Medical Devices
SGEN,Healthcare,Biotechnology
SHOP,Technology,Software—Application
PPG,Basic Materials,Specialty Chemicals
VGR,Consumer Defensive,Tobacco
BIDU,Communication Services,Internet Content & Information
BAH,Industrials,Consulting Services
NTLA,Healthcare,Biotechnology
LULU,Consumer Cyclical,Apparel Retail
FHN,Financial Services,Banks—Regional
GL,Financial Services,Insurance—Life
JCI,Industrials,Building Products & Equipment
CTS,Technology,Electronic Components
CSL,Industrials,Building Products & Equipment
G,Technology,Information Technology Services
RHI,Industrials,Staffing & Employment Services
DCI,Industrials,Specialty Industrial Machinery
SKX,Consumer Cyclical,Footwear & Accessories
NVT,Industrials,Electrical Equipment & Parts
IPG,Communication Services,Advertising Agencies
WWD,Industrials,Aerospace & Defense
NBIX,Healthcare,Drug Manufacturers—Specialty & Generic
FLT,Technology,Software—Infrastructure
V,Financial Services,Credit Services
MAN,Industrials,Staffing & Employment Services
GS,Financial Services,Capital Markets
EVVTY,Consumer Cyclical,Gambling
MLKN,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CNHI,Industrials,Farm & Heavy Construction Machinery
MUR,Energy,Oil & Gas E&P
TPR,Consumer Cyclical,Luxury Goods
LVS,Consumer Cyclical,Resorts & Casinos
EQH,Financial Services,Insurance—Diversified
UTHR,Healthcare,Biotechnology
PTON,Consumer Cyclical,Leisure
OXY,Energy,Oil & Gas E&P
GOLD,Basic Materials,Gold
NU,Financial Services,Banks—Diversified
SIRI,Communication Services,Entertainment
OLO,Technology,Software—Application
LNG,Energy,Oil & Gas Midstream
OKE,Energy,Oil & Gas Midstream
CMA,Financial Services,Banks—Regional
KKR,Financial Services,Asset Management
PH,Industrials,Specialty Industrial Machinery
LEA,Consumer Cyclical,Auto Parts
NVR,Consumer Cyclical,Residential Construction
WY,Real Estate,REIT—Specialty
KLAC,Technology,Semiconductor Equipment & Materials
RPRX,Healthcare,Biotechnology
IQV,Healthcare,Diagnostics & Research
RJF,Financial Services,Capital Markets
MAS,Industrials,Building Products & Equipment
CRL,Healthcare,Diagnostics & Research
CSGP,Real Estate,Real Estate Services
MCHP,Technology,Semiconductors
STZ,Consumer Defensive,Beverages—Wineries & Distilleries
CE,Basic Materials,Chemicals
PAYC,Technology,Software—Application
DLR,Real Estate,REIT—Specialty
IDXX,Healthcare,Diagnostics & Research
OTIS,Industrials,Specialty Industrial Machinery
CSX,Industrials,Railroads
LYV,Communication Services,Entertainment
AAL,Industrials,Airlines
IVZ,Financial Services,Asset Management
CF,Basic Materials,Agricultural Inputs
STE,Healthcare,Medical Devices
SYF,Financial Services,Credit Services
DAL,Industrials,Airlines
UAL,Industrials,Airlines
TER,Technology,Semiconductor Equipment & Materials
BG,Consumer Defensive,Farm Products
DXCM,Healthcare,Medical Devices
CDW,Technology,Information Technology Services
VMC,Basic Materials,Building Materials
IBKR,Financial Services,Capital Markets
BRKR,Healthcare,Medical Devices
VEEV,Healthcare,Health Information Services
IP,Consumer Cyclical,Packaging & Containers
CTLT,Healthcare,Drug Manufacturers—Specialty & Generic
VFC,Consumer Cyclical,Apparel Manufacturing
CPRI,Consumer Cyclical,Luxury Goods
ZBRA,Technology,Communication Equipment
SNA,Industrials,Tools & Accessories
MTCH,Communication Services,Internet Content & Information
SNAP,Communication Services,Internet Content & Information
BBWI,Consumer Cyclical,Specialty Retail
WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SSNC,Technology,Software—Application
CRI,Consumer Cyclical,Apparel Retail
HPE,Technology,Communication Equipment
MKC,Consumer Defensive,Packaged Foods
AVY,Consumer Cyclical,Packaging & Containers
LYB,Basic Materials,Specialty Chemicals
VTRS,Healthcare,Drug Manufacturers—Specialty & Generic
MSCI,Financial Services,Financial Data & Stock Exchanges
PINS,Communication Services,Internet Content & Information
YUM,Consumer Cyclical,Restaurants
STLD,Basic Materials,Steel
CUZ,Real Estate,REIT—Office
SEE,Consumer Cyclical,Packaging & Containers
NUE,Basic Materials,Steel
EXPE,Consumer Cyclical,Travel Services
JBHT,Industrials,Integrated Freight & Logistics
AA,Basic Materials,Aluminum
IEX,Industrials,Specialty Industrial Machinery
ZION,Financial Services,Banks—Regional
MMP,Energy,Oil & Gas Midstream
EXAS,Healthcare,Diagnostics & Research
MFC,Financial Services,Insurance—Life
MDB,Technology,Software—Infrastructure
TTD,Technology,Software—Application
TDG,Industrials,Aerospace & Defense
USPH,Healthcare,Medical Care Facilities
BHP,Basic Materials,Other Industrial Metals & Mining
FIP,Industrials,Conglomerates
WDS,Energy,Oil & Gas E&P
FTAI,Industrials,Rental & Leasing Services
NWN,Utilities,Utilities—Regulated Gas
AEP,Utilities,Utilities—Regulated Electric
AWK,Utilities,Utilities—Regulated Water
AGR,Utilities,Utilities—Regulated Electric
DECK,Consumer Cyclical,Footwear & Accessories
ETR,Utilities,Utilities—Regulated Electric
JEF,Financial Services,Capital Markets
NNN,Real Estate,REIT—Retail
SON,Consumer Cyclical,Packaging & Containers
TRU,Industrials,Consulting Services
BP,Energy,Oil & Gas Integrated
HON,Industrials,Conglomerates
CEG,Utilities,Utilities—Renewable
ARLP,Energy,Thermal Coal
CRT,Energy,Oil & Gas E&P
FLNG,Energy,Oil & Gas Midstream
GPP,Energy,Oil & Gas Midstream
NEP,Utilities,Utilities—Renewable
EOG,Energy,Oil & Gas E&P
ON,Technology,Semiconductors
BBY,Consumer Cyclical,Specialty Retail
FAST,Industrials,Industrial Distribution
TOTZF,Energy,Oil & Gas Equipment & Services
PKG,Consumer Cyclical,Packaging & Containers
AKR,Real Estate,REIT—Retail
AFRM,Technology,Software—Infrastructure
AGNC,Real Estate,REIT—Mortgage
AAT,Real Estate,REIT—Diversified
FOLD,Healthcare,Biotechnology
APO,Financial Services,Asset Management
ARRY,Technology,Solar
CAR,Industrials,Rental & Leasing Services
AXS,Financial Services,Insurance—Specialty
BILL,Technology,Software—Application
CPT,Real Estate,REIT—Residential
YOU,Technology,Software—Application
COLB,Financial Services,Banks—Regional
CONN,Consumer Cyclical,Specialty Retail
CWK,Real Estate,Real Estate Services
DDOG,Technology,Software—Application
DNB,Financial Services,Financial Data & Stock Exchanges
EWBC,Financial Services,Banks—Diversified
EDIT,Healthcare,Biotechnology
ESRT,Real Estate,REIT—Diversified
FCNCA,Financial Services,Banks—Regional
FLO,Consumer Defensive,Packaged Foods
FCEL,Industrials,Electrical Equipment & Parts
GTLB,Technology,Software—Application
HQY,Healthcare,Health Information Services
HUN,Basic Materials,Chemicals
INSP,Healthcare,Medical Devices
JKHY,Technology,Information Technology Services
JLL,Real Estate,Real Estate Services
KRTX,Healthcare,Biotechnology
LC,Financial Services,Credit Services
FWONK,Communication Services,Entertainment
LPSN,Technology,Software—Application
MDGL,Healthcare,Biotechnology
MRVI,Healthcare,Biotechnology
VAC,Consumer Cyclical,Resorts & Casinos
MPW,Real Estate,REIT—Healthcare Facilities
MRTX,Healthcare,Biotechnology
TAP,Consumer Defensive,Beverages—Brewers
NTRA,Healthcare,Diagnostics & Research
NYCB,Financial Services,Banks—Regional
NOV,Energy,Oil & Gas Equipment & Services
NTNX,Technology,Software—Infrastructure
OPEN,Real Estate,Real Estate Services
OUT,Real Estate,REIT—Specialty
PLUG,Industrials,Electrical Equipment & Parts
QTWO,Technology,Software—Application
RGA,Financial Services,Insurance—Reinsurance
RNG,Technology,Software—Application
RITM,Real Estate,REIT—Mortgage
ROKU,Communication Services,Entertainment
SBRA,Real Estate,REIT—Healthcare Facilities
SHLS,Technology,Solar
TEX,Industrials,Farm & Heavy Construction Machinery
UGI,Utilities,Utilities—Regulated Gas
UNM,Financial Services,Insurance—Life
VCYT,Healthcare,Biotechnology
VNO,Real Estate,REIT—Office
W,Consumer Cyclical,Internet Retail
WBS,Financial Services,Banks—Regional
WFAFY,Consumer Cyclical,Home Improvement Retail
ZS,Technology,Software—Infrastructure
HES,Energy,Oil & Gas E&P
UI,Technology,Communication Equipment
VNT,Technology,Scientific & Technical Instruments
APPF,Technology,Software—Application
ARQT,Healthcare,Biotechnology
CHDN,Consumer Cyclical,Gambling
FOXF,Consumer Cyclical,Auto Parts
GMED,Healthcare,Medical Devices
SLGN,Consumer Cyclical,Packaging & Containers
TWKS,Technology,Information Technology Services
UTZ,Consumer Defensive,Packaged Foods
VBTX,Financial Services,Banks—Regional
ANDE,Consumer Defensive,Food Distribution
BALL,Consumer Cyclical,Packaging & Containers
IRBT,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SQ,Technology,Software—Infrastructure
CCCS,Technology,Software—Infrastructure
BABA,Consumer Cyclical,Internet Retail
CARG,Consumer Cyclical,Auto & Truck Dealerships
PEG,Utilities,Utilities—Regulated Electric
U,Technology,Software—Application
LPLA,Financial Services,Capital Markets
AME,Industrials,Specialty Industrial Machinery
BHF,Financial Services,Insurance—Life
BANC,Financial Services,Banks—Regional
DKNG,Consumer Cyclical,Gambling
PNFP,Financial Services,Banks—Regional
UPWK,Industrials,Staffing & Employment Services
MRO,Energy,Oil & Gas E&P
XP,Financial Services,Capital Markets
VCTR,Financial Services,Asset Management
TREX,Industrials,Building Products & Equipment
SKY,Consumer Cyclical,Residential Construction
SSD,Basic Materials,Lumber & Wood Production
SCI,Consumer Cyclical,Personal Services
QSR,Consumer Cyclical,Restaurants
RRC,Energy,Oil & Gas E&P
RH,Consumer Cyclical,Specialty Retail
PHM,Consumer Cyclical,Residential Construction
PAM,Utilities,Utilities—Independent Power Producers
NDSN,Industrials,Specialty Industrial Machinery
MKSI,Technology,Scientific & Technical Instruments
ITW,Industrials,Specialty Industrial Machinery
GFI,Basic Materials,Gold
DQ,Technology,Semiconductor Equipment & Materials
CROX,Consumer Cyclical,Footwear & Accessories
GNTX,Consumer Cyclical,Auto Parts
DIOD,Technology,Semiconductors
CBSH,Financial Services,Banks—Regional
CRUS,Technology,Semiconductors
CIG,Utilities,Utilities—Diversified
EQNR,Energy,Oil & Gas Integrated
JGCCY,Industrials,Engineering & Construction
MJDLF,Basic Materials,Other Industrial Metals & Mining
MLYBY,Financial Services,Banks—Regional
PDS,Energy,Oil & Gas Drilling
VIV,Communication Services,Telecom Services
TSCDY,Consumer Defensive,Grocery Stores
TKC,Communication Services,Telecom Services
WOW,Communication Services,Telecom Services
AHCO,Healthcare,Medical Devices
GNRC,Industrials,Specialty Industrial Machinery
DTE,Utilities,Utilities—Regulated Electric
TRMB,Technology,Scientific & Technical Instruments
SWK,Industrials,Tools & Accessories
NCLH,Consumer Cyclical,Travel Services
KMX,Consumer Cyclical,Auto & Truck Dealerships
CZR,Consumer Cyclical,Resorts & Casinos
RCL,Consumer Cyclical,Travel Services
WDC,Technology,Computer Hardware
INFN,Technology,Communication Equipment
TYL,Technology,Software—Application
BIIB,Healthcare,Drug Manufacturers—General
CHWY,Consumer Cyclical,Internet Retail
GWW,Industrials,Industrial Distribution
LAMR,Real Estate,REIT—Specialty
REXR,Real Estate,REIT—Industrial
FMC,Basic Materials,Agricultural Inputs
M,Consumer Cyclical,Department Stores
COHR,Technology,Scientific & Technical Instruments
AAIC,Real Estate,REIT—Mortgage
LGI,Financial Services,Asset Management
AVNT,Basic Materials,Specialty Chemicals
SNDR,Industrials,Trucking
ALGM,Technology,Semiconductors
VSH,Technology,Semiconductors
BOH,Financial Services,Banks—Regional
CIVI,Energy,Oil & Gas E&P
TYG,Financial Services,Asset Management
GTES,Industrials,Specialty Industrial Machinery
ITT,Industrials,Specialty Industrial Machinery
KBR,Industrials,Engineering & Construction
ABCB,Financial Services,Banks—Regional
SBCF,Financial Services,Banks—Regional
SIVBQ,Financial Services,Banks—Regional
CMI,Industrials,Specialty Industrial Machinery
ALNY,Healthcare,Biotechnology
NLY,Real Estate,REIT—Mortgage
ASXFY,Financial Services,Financial Data & Stock Exchanges
ATO,Utilities,Utilities—Regulated Gas
BMRN,Healthcare,Biotechnology
BLNK,Industrials,Engineering & Construction
BHKLY,Financial Services,Banks—Regional
BRO,Financial Services,Insurance Brokers
CDNA,Healthcare,Diagnostics & Research
ED,Utilities,Utilities—Regulated Electric
APPS,Technology,Software—Application
GRFS,Healthcare,Drug Manufacturers—General
GO,Consumer Defensive,Grocery Stores
HE,Utilities,Utilities—Regulated Electric
HPP,Real Estate,REIT—Office
IBRX,Healthcare,Biotechnology
IONS,Healthcare,Biotechnology
MITEY,Real Estate,Real Estate—Diversified
MONOY,Consumer Cyclical,Internet Retail
NTDTY,Technology,Information Technology Services
OHI,Real Estate,REIT—Healthcare Facilities
PACW,Financial Services,Banks—Regional
RIVN,Consumer Cyclical,Auto Manufacturers
SBNY,Financial Services,Banks—Regional
SILK,Healthcare,Medical Devices
SKBSY,Industrials,Engineering & Construction
SNOW,Technology,Software—Application
SMPNY,Financial Services,Insurance—Property & Casualty
RUN,Technology,Solar
VONOY,Real Estate,Real Estate Services
WAL,Financial Services,Banks—Regional
ZG,Communication Services,Internet Content & Information
LSXMA,Communication Services,Broadcasting
LTRPA,Communication Services,Internet Content & Information
WCC,Industrials,Industrial Distribution
AES,Utilities,Utilities—Diversified
ECL,Basic Materials,Specialty Chemicals
RRX,Industrials,Specialty Industrial Machinery
HIW,Real Estate,REIT—Office
ELS,Real Estate,REIT—Residential
CCK,Consumer Cyclical,Packaging & Containers
REG,Real Estate,REIT—Retail
UHS,Healthcare,Medical Care Facilities
AMED,Healthcare,Medical Care Facilities
PSTG,Technology,Computer Hardware
VRSN,Technology,Software—Infrastructure
DOCU,Technology,Software—Application
EHC,Healthcare,Medical Care Facilities
HOG,Consumer Cyclical,Recreational Vehicles
MAT,Consumer Cyclical,Leisure
HR,Real Estate,REIT—Healthcare Facilities
NWL,Consumer Defensive,Household & Personal Products
GDDY,Technology,Software—Infrastructure
BCC,Basic Materials,Building Materials
PAA,Energy,Oil & Gas Midstream
VIA,Utilities,Utilities—Regulated Electric
TRTN,Industrials,Rental & Leasing Services
ENTG,Technology,Semiconductor Equipment & Materials
FIVE,Consumer Cyclical,Specialty Retail
ORLY,Consumer Cyclical,Specialty Retail
CW,Industrials,Aerospace & Defense
CANO,Healthcare,Medical Care Facilities
KKOYY,Consumer Defensive,Grocery Stores
NPPNY,Healthcare,Drug Manufacturers—Specialty & Generic
NCLTY,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
RCRUY,Industrials,Staffing & Employment Services
SGAPY,Communication Services,Telecom Services
TOSYY,Industrials,Conglomerates
UNICY,Consumer Defensive,Household & Personal Products
UNVGY,Communication Services,Entertainment
CBZ,Industrials,Specialty Business Services
IBN,Financial Services,Banks—Regional
PFGC,Consumer Defensive,Food Distribution
SVC,Real Estate,REIT—Hotel & Motel
LNT,Utilities,Utilities—Regulated Electric
UEEC,Healthcare,Medical Instruments & Supplies
CCEP,Consumer Defensive,Beverages—Non-Alcoholic
HBI,Consumer Cyclical,Apparel Manufacturing
VMW,Technology,Software—Infrastructure
EMN,Basic Materials,Specialty Chemicals
EAF,Industrials,Electrical Equipment & Parts
ASO,Consumer Cyclical,Specialty Retail
HLI,Financial Services,Capital Markets
BKR,Energy,Oil & Gas Equipment & Services
H,Consumer Cyclical,Lodging
ACM,Industrials,Engineering & Construction
SUI,Real Estate,REIT—Residential
PCAR,Industrials,Farm & Heavy Construction Machinery
SQM,Basic Materials,Specialty Chemicals
AGX,Industrials,Engineering & Construction
HASI,Real Estate,REIT—Specialty
FPI,Real Estate,REIT—Specialty
BSM,Energy,Oil & Gas E&P
DPLS,Technology,Scientific & Technical Instruments
FBIN,Industrials,Building Products & Equipment
KW,Real Estate,Real Estate Services
AZEK,Industrials,Building Products & Equipment
WTRG,Utilities,Utilities—Regulated Water
ARWR,Healthcare,Biotechnology
CELH,Consumer Defensive,Beverages—Non-Alcoholic
CHE,Healthcare,Medical Care Facilities
ENVX,Industrials,Electrical Equipment & Parts
FATE,Healthcare,Biotechnology
HZNP,Healthcare,Drug Manufacturers—General
PSO,Communication Services,Publishing
RBLX,Communication Services,Electronic Gaming & Multimedia
SWAV,Healthcare,Medical Devices
SPWR,Technology,Solar
SYNH,Healthcare,Diagnostics & Research
AGI,Basic Materials,Gold
ICFI,Industrials,Consulting Services
MTSI,Technology,Semiconductors
BA,Industrials,Aerospace & Defense
FMCC,Financial Services,Mortgage Finance
ICLR,Healthcare,Diagnostics & Research
CHRS,Healthcare,Biotechnology
CMPS,Healthcare,Medical Care Facilities
JD,Consumer Cyclical,Internet Retail
BEKE,Real Estate,Real Estate Services
TME,Communication Services,Internet Content & Information
CG,Financial Services,Asset Management
DT,Technology,Software—Application
WAB,Industrials,Railroads
AFL,Financial Services,Insurance—Life
ACGL,Financial Services,Insurance—Diversified
IAC,Communication Services,Internet Content & Information
NXST,Communication Services,Entertainment
WMS,Industrials,Building Products & Equipment
SPLK,Technology,Software—Infrastructure
WIW,Financial Services,Asset Management
AQN,Utilities,Utilities—Renewable
ATKR,Industrials,Electrical Equipment & Parts
TU,Communication Services,Telecom Services
SAND,Basic Materials,Gold
KNX,Industrials,Trucking
AVXL,Healthcare,Biotechnology
AROC,Energy,Oil & Gas Equipment & Services
ATHA,Healthcare,Biotechnology
BLFS,Healthcare,Medical Instruments & Supplies
BORR,Energy,Oil & Gas Drilling
SAVA,Healthcare,Biotechnology
CMTG,Real Estate,REIT—Mortgage
COGT,Healthcare,Biotechnology
CTRA,Energy,Oil & Gas E&P
CRGY,Energy,Oil & Gas E&P
XPRO,Energy,Oil & Gas Equipment & Services
GEVO,Basic Materials,Specialty Chemicals
HLX,Energy,Oil & Gas Equipment & Services
HP,Energy,Oil & Gas Drilling
NOTV,Healthcare,Diagnostics & Research
INSW,Energy,Oil & Gas Midstream
KALV,Healthcare,Biotechnology
KRYS,Healthcare,Biotechnology
KURA,Healthcare,Biotechnology
NESR,Energy,Oil & Gas Equipment & Services
NTST,Real Estate,REIT—Retail
DOC,Real Estate,REIT—Healthcare Facilities
RLMD,Healthcare,Biotechnology
SWTX,Healthcare,Biotechnology
TELL,Energy,Oil & Gas E&P
UEC,Energy,Uranium
PCVX,Healthcare,Biotechnology
LGIH,Consumer Cyclical,Residential Construction
LCII,Consumer Cyclical,Recreational Vehicles
WTM,Financial Services,Insurance—Property & Casualty
TRS,Consumer Cyclical,Packaging & Containers
FCFS,Financial Services,Credit Services
PRI,Financial Services,Insurance—Life
BECN,Industrials,Industrial Distribution
PLXS,Technology,Electronic Components
ARW,Technology,Electronics & Computer Distribution
AIT,Industrials,Industrial Distribution
MBC,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ARCB,Industrials,Trucking
MASI,Healthcare,Medical Devices
WYNN,Consumer Cyclical,Resorts & Casinos
INSM,Healthcare,Biotechnology
SUPN,Healthcare,Drug Manufacturers—Specialty & Generic
AB,Financial Services,Asset Management
AKAM,Technology,Software—Infrastructure
CPXWF,Utilities,Utilities—Independent Power Producers
HTGC,Financial Services,Asset Management
ORI,Financial Services,Insurance—Diversified
PPL,Utilities,Utilities—Regulated Electric
R,Industrials,Rental & Leasing Services
CRWD,Technology,Software—Infrastructure
AGO,Financial Services,Insurance—Specialty
ZI,Technology,Software—Application
NET,Technology,Software—Infrastructure
EXEL,Healthcare,Biotechnology
GWRE,Technology,Software—Application
LEN,Consumer Cyclical,Residential Construction
ESTC,Technology,Software—Application
SF,Financial Services,Capital Markets
LYFT,Technology,Software—Application
PPC,Consumer Defensive,Packaged Foods
ROST,Consumer Cyclical,Apparel Retail
ACHC,Healthcare,Medical Care Facilities
BERY,Consumer Cyclical,Packaging & Containers
BKI,Technology,Software—Application
BFAM,Consumer Cyclical,Personal Services
BR,Technology,Information Technology Services
BLDR,Industrials,Building Products & Equipment
ESI,Basic Materials,Specialty Chemicals
GFL,Industrials,Waste Management
LESL,Consumer Cyclical,Specialty Retail
PLNT,Consumer Cyclical,Leisure
QRVO,Technology,Semiconductors
REZI,Industrials,Security & Protection Services
SMG,Basic Materials,Agricultural Inputs
FOUR,Technology,Software—Infrastructure
USFD,Consumer Defensive,Food Distribution
VRT,Industrials,Electrical Equipment & Parts
SSLZY,Energy,Oil & Gas E&P
ZBH,Healthcare,Medical Devices
ZIMV,Healthcare,Medical Devices
DPZ,Consumer Cyclical,Restaurants
SOLO,Consumer Cyclical,Auto Manufacturers
TREE,Financial Services,Financial Conglomerates
FLYW,Technology,Software—Infrastructure
AKRO,Healthcare,Biotechnology
BCEL,Healthcare,Biotechnology
IMVT,Healthcare,Biotechnology
KOD,Healthcare,Biotechnology
OCGN,Healthcare,Biotechnology
TWLO,Communication Services,Internet Content & Information
MGA,Consumer Cyclical,Auto Parts
PFG,Financial Services,Asset Management
WST,Healthcare,Medical Instruments & Supplies
SLB,Energy,Oil & Gas Equipment & Services
CR,Industrials,Specialty Industrial Machinery
GBDC,Financial Services,Asset Management
DASH,Communication Services,Internet Content & Information
POOL,Industrials,Industrial Distribution
JBL,Technology,Electronic Components
WSC,Industrials,Rental & Leasing Services
LUV,Industrials,Airlines
NYT,Communication Services,Publishing
CHH,Consumer Cyclical,Lodging
PAG,Consumer Cyclical,Auto & Truck Dealerships
OKTA,Technology,Software—Infrastructure
BRX,Real Estate,REIT—Retail
DBRG,Real Estate,Real Estate Services
PTC,Technology,Software—Application
COO,Healthcare,Medical Instruments & Supplies
FND,Consumer Cyclical,Home Improvement Retail
KSS,Consumer Cyclical,Department Stores
XRAY,Healthcare,Medical Instruments & Supplies
ACI,Consumer Defensive,Grocery Stores
AEE,Utilities,Utilities—Regulated Electric
DOX,Technology,Software—Infrastructure
COLD,Real Estate,REIT—Industrial
FCN,Industrials,Consulting Services
AMLX,Healthcare,Biotechnology
PLL,Basic Materials,Other Industrial Metals & Mining
VTNR,Energy,Oil & Gas Refining & Marketing
KBH,Consumer Cyclical,Residential Construction
JOE,Real Estate,Real Estate—Diversified
PCTY,Technology,Software—Application
GLPI,Real Estate,REIT—Specialty
WIT,Technology,Information Technology Services
SEIC,Financial Services,Asset Management
GGG,Industrials,Specialty Industrial Machinery
CP,Industrials,Railroads
CBOE,Financial Services,Financial Data & Stock Exchanges
BMN,Financial Services,Asset Management
GMRE,Real Estate,REIT—Healthcare Facilities
HQL,Financial Services,Asset Management
FANG,Energy,Oil & Gas E&P
MGY,Energy,Oil & Gas E&P
STAG,Real Estate,REIT—Industrial
PAHC,Healthcare,Drug Manufacturers—Specialty & Generic
CNXC,Technology,Information Technology Services
OMC,Communication Services,Advertising Agencies
GOGL,Industrials,Marine Shipping
IMKTA,Consumer Defensive,Grocery Stores
NHI,Real Estate,REIT—Healthcare Facilities
NEWT,Financial Services,Banks—Regional
SJT,Energy,Oil & Gas E&P
USDP,Industrials,Railroads
DOV,Industrials,Specialty Industrial Machinery
APG,Industrials,Engineering & Construction
TLRY,Healthcare,Drug Manufacturers—Specialty & Generic
ALK,Industrials,Airlines
ATR,Healthcare,Medical Instruments & Supplies
CRNC,Technology,Software—Application
BCRX,Healthcare,Biotechnology
RPD,Technology,Software—Infrastructure
APA,Energy,Oil & Gas E&P
DINO,Energy,Oil & Gas Refining & Marketing
OC,Industrials,Building Products & Equipment
SSYS,Technology,Computer Hardware
DRI,Consumer Cyclical,Restaurants
FICO,Technology,Software—Application
NTIOF,Financial Services,Banks—Diversified
AR,Energy,Oil & Gas E&P
ASB,Financial Services,Banks—Regional
ESTE,Energy,Oil & Gas E&P
GNK,Industrials,Marine Shipping
